:START_ID(Flight),:END_ID(Airport),:TYPE
FL00156,SFO,ARRIVES_AT
FL00157,SFO,ARRIVES_AT
FL00158,DFW,ARRIVES_AT
FL00159,ORD,ARRIVES_AT
FL00160,PHX,ARRIVES_AT
FL00161,ORD,ARRIVES_AT
FL00162,LAX,ARRIVES_AT
FL00163,DFW,ARRIVES_AT
FL00164,BOS,ARRIVES_AT
FL00165,SFO,ARRIVES_AT
FL00166,MSP,ARRIVES_AT
FL00167,PHX,ARRIVES_AT
FL00168,BOS,ARRIVES_AT
FL00169,SFO,ARRIVES_AT
FL00170,MIA,ARRIVES_AT
FL00171,JFK,ARRIVES_AT
FL00172,SEA,ARRIVES_AT
FL00173,SEA,ARRIVES_AT
FL00174,SFO,ARRIVES_AT
FL00175,MSP,ARRIVES_AT
FL00176,MSP,ARRIVES_AT
FL00177,BOS,ARRIVES_AT
FL00178,SEA,ARRIVES_AT
FL00179,MSP,ARRIVES_AT
FL00180,SEA,ARRIVES_AT
FL00181,ORD,ARRIVES_AT
FL00182,DEN,ARRIVES_AT
FL00183,JFK,ARRIVES_AT
FL00184,SEA,ARRIVES_AT
FL00185,DFW,ARRIVES_AT
FL00186,MSP,ARRIVES_AT
FL00187,PHX,ARRIVES_AT
FL00188,SEA,ARRIVES_AT
FL00189,ORD,ARRIVES_AT
FL00190,DFW,ARRIVES_AT
FL00191,ORD,ARRIVES_AT
FL00192,ATL,ARRIVES_AT
FL00193,SFO,ARRIVES_AT
FL00194,BOS,ARRIVES_AT
FL00195,ORD,ARRIVES_AT
FL00196,SEA,ARRIVES_AT
FL00197,ATL,ARRIVES_AT
FL00198,ATL,ARRIVES_AT
FL00199,ATL,ARRIVES_AT
FL00200,DFW,ARRIVES_AT
FL00201,SEA,ARRIVES_AT
FL00202,DFW,ARRIVES_AT
FL00203,JFK,ARRIVES_AT
FL00204,ORD,ARRIVES_AT
FL00205,SEA,ARRIVES_AT
FL00206,BOS,ARRIVES_AT
FL00207,JFK,ARRIVES_AT
FL00208,LAX,ARRIVES_AT
FL00209,SEA,ARRIVES_AT
FL00210,SEA,ARRIVES_AT
FL00211,LAX,ARRIVES_AT
FL00212,ORD,ARRIVES_AT
FL00213,SEA,ARRIVES_AT
FL00214,JFK,ARRIVES_AT
FL00215,LAX,ARRIVES_AT
FL00216,SFO,ARRIVES_AT
FL00217,PHX,ARRIVES_AT
FL00218,PHX,ARRIVES_AT
FL00219,ATL,ARRIVES_AT
FL00220,MSP,ARRIVES_AT
FL00221,JFK,ARRIVES_AT
FL00222,LAX,ARRIVES_AT
FL00223,ATL,ARRIVES_AT
FL00224,DFW,ARRIVES_AT
FL00225,SFO,ARRIVES_AT
FL00226,DEN,ARRIVES_AT
FL00227,ATL,ARRIVES_AT
FL00228,SEA,ARRIVES_AT
FL00229,JFK,ARRIVES_AT
FL00230,JFK,ARRIVES_AT
FL00231,PHX,ARRIVES_AT
FL00232,ORD,ARRIVES_AT
FL00233,SFO,ARRIVES_AT
FL00234,ORD,ARRIVES_AT
FL00235,PHX,ARRIVES_AT
FL00236,DEN,ARRIVES_AT
FL00237,MIA,ARRIVES_AT
FL00238,ATL,ARRIVES_AT
FL00239,SFO,ARRIVES_AT
FL00240,SEA,ARRIVES_AT
FL00241,JFK,ARRIVES_AT
FL00242,BOS,ARRIVES_AT
FL00243,DEN,ARRIVES_AT
FL00244,ATL,ARRIVES_AT
FL00245,PHX,ARRIVES_AT
FL00246,BOS,ARRIVES_AT
FL00247,LAX,ARRIVES_AT
FL00248,LAX,ARRIVES_AT
FL00249,PHX,ARRIVES_AT
FL00250,SEA,ARRIVES_AT
FL00251,SEA,ARRIVES_AT
FL00252,BOS,ARRIVES_AT
FL00253,ATL,ARRIVES_AT
FL00254,SEA,ARRIVES_AT
FL00255,PHX,ARRIVES_AT
FL00256,DFW,ARRIVES_AT
FL00257,ATL,ARRIVES_AT
FL00258,BOS,ARRIVES_AT
FL00259,LAX,ARRIVES_AT
FL00260,MIA,ARRIVES_AT
FL00261,ORD,ARRIVES_AT
FL00262,MSP,ARRIVES_AT
FL00263,PHX,ARRIVES_AT
FL00264,JFK,ARRIVES_AT
FL00265,MSP,ARRIVES_AT
FL00266,MSP,ARRIVES_AT
FL00267,DEN,ARRIVES_AT
FL00268,BOS,ARRIVES_AT
FL00269,SEA,ARRIVES_AT
FL00270,ORD,ARRIVES_AT
FL00271,JFK,ARRIVES_AT
FL00272,MIA,ARRIVES_AT
FL00273,BOS,ARRIVES_AT
FL00274,PHX,ARRIVES_AT
FL00275,MIA,ARRIVES_AT
FL00276,DEN,ARRIVES_AT
FL00277,ATL,ARRIVES_AT
FL00278,JFK,ARRIVES_AT
FL00279,DFW,ARRIVES_AT
FL00280,ATL,ARRIVES_AT
FL00281,DFW,ARRIVES_AT
FL00282,ATL,ARRIVES_AT
FL00283,LAX,ARRIVES_AT
FL00284,DFW,ARRIVES_AT
FL00285,MIA,ARRIVES_AT
FL00286,MIA,ARRIVES_AT
FL00287,JFK,ARRIVES_AT
FL00288,DFW,ARRIVES_AT
FL00289,PHX,ARRIVES_AT
FL00290,PHX,ARRIVES_AT
FL00291,PHX,ARRIVES_AT
FL00292,LAX,ARRIVES_AT
FL00293,DFW,ARRIVES_AT
FL00294,JFK,ARRIVES_AT
FL00295,DFW,ARRIVES_AT
FL00296,MIA,ARRIVES_AT
FL00297,LAX,ARRIVES_AT
FL00298,BOS,ARRIVES_AT
FL00299,MIA,ARRIVES_AT
FL00300,PHX,ARRIVES_AT
FL00301,SEA,ARRIVES_AT
FL00302,MIA,ARRIVES_AT
FL00303,DEN,ARRIVES_AT
FL00304,MIA,ARRIVES_AT
FL00305,SEA,ARRIVES_AT
FL00306,SEA,ARRIVES_AT
FL00307,PHX,ARRIVES_AT
FL00308,LAX,ARRIVES_AT
FL00309,JFK,ARRIVES_AT
FL00310,ATL,ARRIVES_AT
FL00311,BOS,ARRIVES_AT
FL00312,PHX,ARRIVES_AT
FL00313,PHX,ARRIVES_AT
FL00314,LAX,ARRIVES_AT
FL00315,JFK,ARRIVES_AT
FL00316,MIA,ARRIVES_AT
FL00317,ORD,ARRIVES_AT
FL00318,SFO,ARRIVES_AT
FL00319,LAX,ARRIVES_AT
FL00320,JFK,ARRIVES_AT
FL00321,ORD,ARRIVES_AT
FL00322,MIA,ARRIVES_AT
FL00323,JFK,ARRIVES_AT
FL00324,JFK,ARRIVES_AT
FL00325,DFW,ARRIVES_AT
FL00326,SFO,ARRIVES_AT
FL00327,MIA,ARRIVES_AT
FL00328,PHX,ARRIVES_AT
FL00329,DFW,ARRIVES_AT
FL00330,ATL,ARRIVES_AT
FL00331,ATL,ARRIVES_AT
FL00332,JFK,ARRIVES_AT
FL00333,DEN,ARRIVES_AT
FL00334,SEA,ARRIVES_AT
FL00335,MSP,ARRIVES_AT
FL00336,ATL,ARRIVES_AT
FL00337,DEN,ARRIVES_AT
FL00338,DEN,ARRIVES_AT
FL00339,MSP,ARRIVES_AT
FL00340,LAX,ARRIVES_AT
FL00341,BOS,ARRIVES_AT
FL00342,ORD,ARRIVES_AT
FL00343,SEA,ARRIVES_AT
FL00344,ORD,ARRIVES_AT
FL00345,LAX,ARRIVES_AT
FL00346,ORD,ARRIVES_AT
FL00347,LAX,ARRIVES_AT
FL00348,JFK,ARRIVES_AT
FL00349,PHX,ARRIVES_AT
FL00350,DFW,ARRIVES_AT
FL00351,ATL,ARRIVES_AT
FL00352,LAX,ARRIVES_AT
FL00353,DFW,ARRIVES_AT
FL00354,LAX,ARRIVES_AT
FL00355,PHX,ARRIVES_AT
FL00356,ATL,ARRIVES_AT
FL00357,DEN,ARRIVES_AT
FL00358,BOS,ARRIVES_AT
FL00359,LAX,ARRIVES_AT
FL00360,SFO,ARRIVES_AT
FL00361,BOS,ARRIVES_AT
FL00362,LAX,ARRIVES_AT
FL00363,ATL,ARRIVES_AT
FL00364,ORD,ARRIVES_AT
FL00365,DFW,ARRIVES_AT
FL00366,PHX,ARRIVES_AT
FL00367,ATL,ARRIVES_AT
FL00368,BOS,ARRIVES_AT
FL00369,DFW,ARRIVES_AT
FL00370,MIA,ARRIVES_AT
FL00371,MSP,ARRIVES_AT
FL00372,DFW,ARRIVES_AT
FL00373,MIA,ARRIVES_AT
FL00374,BOS,ARRIVES_AT
FL00375,SEA,ARRIVES_AT
FL00376,ATL,ARRIVES_AT
FL00377,SEA,ARRIVES_AT
FL00378,MSP,ARRIVES_AT
FL00379,PHX,ARRIVES_AT
FL00380,SFO,ARRIVES_AT
FL00381,MSP,ARRIVES_AT
FL00382,DEN,ARRIVES_AT
FL00383,SFO,ARRIVES_AT
FL00384,SFO,ARRIVES_AT
FL00385,SFO,ARRIVES_AT
FL00386,SEA,ARRIVES_AT
FL00387,ATL,ARRIVES_AT
FL00388,MIA,ARRIVES_AT
FL00389,MIA,ARRIVES_AT
FL00390,MIA,ARRIVES_AT
FL00391,DEN,ARRIVES_AT
FL00392,DFW,ARRIVES_AT
FL00393,SEA,ARRIVES_AT
FL00394,DFW,ARRIVES_AT
FL00395,JFK,ARRIVES_AT
FL00396,ATL,ARRIVES_AT
FL00397,MIA,ARRIVES_AT
FL00398,BOS,ARRIVES_AT
FL00399,JFK,ARRIVES_AT
FL00400,MSP,ARRIVES_AT
FL00401,DEN,ARRIVES_AT
FL00402,DEN,ARRIVES_AT
FL00403,MSP,ARRIVES_AT
FL00404,JFK,ARRIVES_AT
FL00405,LAX,ARRIVES_AT
FL00406,BOS,ARRIVES_AT
FL00407,PHX,ARRIVES_AT
FL00408,SEA,ARRIVES_AT
FL00409,DFW,ARRIVES_AT
FL00410,ATL,ARRIVES_AT
FL00411,SEA,ARRIVES_AT
FL00412,DFW,ARRIVES_AT
FL00413,JFK,ARRIVES_AT
FL00414,LAX,ARRIVES_AT
FL00415,DFW,ARRIVES_AT
FL00416,MSP,ARRIVES_AT
FL00417,DFW,ARRIVES_AT
FL00418,SEA,ARRIVES_AT
FL00419,JFK,ARRIVES_AT
FL00420,ATL,ARRIVES_AT
FL00421,BOS,ARRIVES_AT
FL00422,SEA,ARRIVES_AT
FL00423,PHX,ARRIVES_AT
FL00424,SEA,ARRIVES_AT
FL00425,SFO,ARRIVES_AT
FL00426,SFO,ARRIVES_AT
FL00427,PHX,ARRIVES_AT
FL00428,BOS,ARRIVES_AT
FL00429,ORD,ARRIVES_AT
FL00430,MIA,ARRIVES_AT
FL00431,JFK,ARRIVES_AT
FL00432,JFK,ARRIVES_AT
FL00433,SEA,ARRIVES_AT
FL00434,DEN,ARRIVES_AT
FL00435,ORD,ARRIVES_AT
FL00436,BOS,ARRIVES_AT
FL00437,ORD,ARRIVES_AT
FL00438,MSP,ARRIVES_AT
FL00439,ATL,ARRIVES_AT
FL00440,SEA,ARRIVES_AT
FL00441,ORD,ARRIVES_AT
FL00442,SFO,ARRIVES_AT
FL00443,SEA,ARRIVES_AT
FL00444,DFW,ARRIVES_AT
FL00445,ORD,ARRIVES_AT
FL00446,ATL,ARRIVES_AT
FL00447,ORD,ARRIVES_AT
FL00448,ORD,ARRIVES_AT
FL00449,DEN,ARRIVES_AT
FL00450,MIA,ARRIVES_AT
FL00451,JFK,ARRIVES_AT
FL00452,MIA,ARRIVES_AT
FL00453,LAX,ARRIVES_AT
FL00454,BOS,ARRIVES_AT
FL00455,MIA,ARRIVES_AT
FL00456,LAX,ARRIVES_AT
FL00457,MSP,ARRIVES_AT
FL00458,MIA,ARRIVES_AT
FL00459,MSP,ARRIVES_AT
FL00460,ATL,ARRIVES_AT
FL00461,LAX,ARRIVES_AT
FL00462,BOS,ARRIVES_AT
FL00463,MIA,ARRIVES_AT
FL00464,ORD,ARRIVES_AT
FL00465,DEN,ARRIVES_AT
FL00466,ATL,ARRIVES_AT
FL00467,DFW,ARRIVES_AT
FL00468,DFW,ARRIVES_AT
FL00469,BOS,ARRIVES_AT
FL00470,ATL,ARRIVES_AT
FL00471,SFO,ARRIVES_AT
FL00472,MIA,ARRIVES_AT
FL00473,BOS,ARRIVES_AT
FL00474,ATL,ARRIVES_AT
FL00475,ATL,ARRIVES_AT
FL00476,DFW,ARRIVES_AT
FL00477,ORD,ARRIVES_AT
FL00478,SEA,ARRIVES_AT
FL00479,MIA,ARRIVES_AT
FL00480,LAX,ARRIVES_AT
FL00481,SEA,ARRIVES_AT
FL00482,DFW,ARRIVES_AT
FL00483,SFO,ARRIVES_AT
FL00484,PHX,ARRIVES_AT
FL00485,DEN,ARRIVES_AT
FL00486,DEN,ARRIVES_AT
FL00487,JFK,ARRIVES_AT
FL00488,SEA,ARRIVES_AT
FL00489,MIA,ARRIVES_AT
FL00490,ORD,ARRIVES_AT
FL00491,ATL,ARRIVES_AT
FL00492,SEA,ARRIVES_AT
FL00493,JFK,ARRIVES_AT
FL00494,MIA,ARRIVES_AT
FL00495,MSP,ARRIVES_AT
FL00496,LAX,ARRIVES_AT
FL00497,DEN,ARRIVES_AT
FL00498,DFW,ARRIVES_AT
FL00499,ORD,ARRIVES_AT
FL00500,MSP,ARRIVES_AT
FL00501,PHX,ARRIVES_AT
FL00502,JFK,ARRIVES_AT
FL00503,ATL,ARRIVES_AT
FL00504,DFW,ARRIVES_AT
FL00505,DFW,ARRIVES_AT
FL00506,JFK,ARRIVES_AT
FL00507,ATL,ARRIVES_AT
FL00508,ORD,ARRIVES_AT
FL00509,ATL,ARRIVES_AT
FL00510,MSP,ARRIVES_AT
FL00511,DFW,ARRIVES_AT
FL00512,ATL,ARRIVES_AT
FL00513,MIA,ARRIVES_AT
FL00514,ATL,ARRIVES_AT
FL00515,LAX,ARRIVES_AT
FL00516,ORD,ARRIVES_AT
FL00517,PHX,ARRIVES_AT
FL00518,SFO,ARRIVES_AT
FL00519,MIA,ARRIVES_AT
FL00520,DFW,ARRIVES_AT
FL00521,SEA,ARRIVES_AT
FL00522,LAX,ARRIVES_AT
FL00523,ORD,ARRIVES_AT
FL00524,MSP,ARRIVES_AT
FL00525,ATL,ARRIVES_AT
FL00526,MIA,ARRIVES_AT
FL00527,MSP,ARRIVES_AT
FL00528,ORD,ARRIVES_AT
FL00529,SFO,ARRIVES_AT
FL00530,ORD,ARRIVES_AT
FL00531,PHX,ARRIVES_AT
FL00532,ATL,ARRIVES_AT
FL00533,PHX,ARRIVES_AT
FL00534,PHX,ARRIVES_AT
FL00535,ORD,ARRIVES_AT
FL00536,MSP,ARRIVES_AT
FL00537,DFW,ARRIVES_AT
FL00538,JFK,ARRIVES_AT
FL00539,MIA,ARRIVES_AT
FL00540,DFW,ARRIVES_AT
FL00541,PHX,ARRIVES_AT
FL00542,ORD,ARRIVES_AT
FL00543,MSP,ARRIVES_AT
FL00544,DEN,ARRIVES_AT
FL00545,ATL,ARRIVES_AT
FL00546,DEN,ARRIVES_AT
FL00547,PHX,ARRIVES_AT
FL00548,DFW,ARRIVES_AT
FL00549,SEA,ARRIVES_AT
FL00550,ATL,ARRIVES_AT
FL00551,ATL,ARRIVES_AT
FL00552,SEA,ARRIVES_AT
FL00553,ORD,ARRIVES_AT
FL00554,ATL,ARRIVES_AT
FL00555,MIA,ARRIVES_AT
FL00556,SEA,ARRIVES_AT
FL00557,JFK,ARRIVES_AT
FL00558,ORD,ARRIVES_AT
FL00559,SEA,ARRIVES_AT
FL00560,JFK,ARRIVES_AT
FL00561,ORD,ARRIVES_AT
FL00562,ORD,ARRIVES_AT
FL00563,ORD,ARRIVES_AT
FL00564,ORD,ARRIVES_AT
FL00565,DEN,ARRIVES_AT
FL00566,PHX,ARRIVES_AT
FL00567,LAX,ARRIVES_AT
FL00568,DFW,ARRIVES_AT
FL00569,SEA,ARRIVES_AT
FL00570,MIA,ARRIVES_AT
FL00571,MIA,ARRIVES_AT
FL00572,JFK,ARRIVES_AT
FL00573,SEA,ARRIVES_AT
FL00574,JFK,ARRIVES_AT
FL00575,JFK,ARRIVES_AT
FL00576,MIA,ARRIVES_AT
FL00577,MIA,ARRIVES_AT
FL00578,DFW,ARRIVES_AT
FL00579,SEA,ARRIVES_AT
FL00580,DFW,ARRIVES_AT
FL00581,LAX,ARRIVES_AT
FL00582,JFK,ARRIVES_AT
FL00583,DFW,ARRIVES_AT
FL00584,JFK,ARRIVES_AT
FL00585,LAX,ARRIVES_AT
FL00586,DFW,ARRIVES_AT
FL00587,DEN,ARRIVES_AT
FL00588,MIA,ARRIVES_AT
FL00589,SFO,ARRIVES_AT
FL00590,MSP,ARRIVES_AT
FL00591,MIA,ARRIVES_AT
FL00592,ORD,ARRIVES_AT
FL00593,JFK,ARRIVES_AT
FL00594,PHX,ARRIVES_AT
FL00595,LAX,ARRIVES_AT
FL00596,ATL,ARRIVES_AT
FL00597,PHX,ARRIVES_AT
FL00598,MIA,ARRIVES_AT
FL00599,LAX,ARRIVES_AT
FL00600,PHX,ARRIVES_AT
FL00601,MIA,ARRIVES_AT
FL00602,SEA,ARRIVES_AT
FL00603,PHX,ARRIVES_AT
FL00604,SFO,ARRIVES_AT
FL00605,PHX,ARRIVES_AT
FL00606,BOS,ARRIVES_AT
FL00607,SFO,ARRIVES_AT
FL00608,ATL,ARRIVES_AT
FL00609,PHX,ARRIVES_AT
FL00610,MSP,ARRIVES_AT
FL00611,ATL,ARRIVES_AT
FL00612,DEN,ARRIVES_AT
FL00613,MIA,ARRIVES_AT
FL00614,MSP,ARRIVES_AT
FL00615,MSP,ARRIVES_AT
FL00616,BOS,ARRIVES_AT
FL00617,SFO,ARRIVES_AT
FL00618,MSP,ARRIVES_AT
FL00619,SEA,ARRIVES_AT
FL00620,ATL,ARRIVES_AT
FL00621,LAX,ARRIVES_AT
FL00622,BOS,ARRIVES_AT
FL00623,ATL,ARRIVES_AT
FL00624,MIA,ARRIVES_AT
FL00625,DFW,ARRIVES_AT
FL00626,SEA,ARRIVES_AT
FL00627,PHX,ARRIVES_AT
FL00628,SFO,ARRIVES_AT
FL00629,MSP,ARRIVES_AT
FL00630,LAX,ARRIVES_AT
FL00631,PHX,ARRIVES_AT
FL00632,PHX,ARRIVES_AT
FL00633,DEN,ARRIVES_AT
FL00634,PHX,ARRIVES_AT
FL00635,DFW,ARRIVES_AT
FL00636,LAX,ARRIVES_AT
FL00637,PHX,ARRIVES_AT
FL00638,LAX,ARRIVES_AT
FL00639,LAX,ARRIVES_AT
FL00640,DEN,ARRIVES_AT
FL00641,DFW,ARRIVES_AT
FL00642,SEA,ARRIVES_AT
FL00643,ATL,ARRIVES_AT
FL00644,DEN,ARRIVES_AT
FL00645,MSP,ARRIVES_AT
FL00646,MIA,ARRIVES_AT
FL00647,MSP,ARRIVES_AT
FL00648,BOS,ARRIVES_AT
FL00649,SEA,ARRIVES_AT
FL00650,ATL,ARRIVES_AT
FL00651,DEN,ARRIVES_AT
FL00652,MIA,ARRIVES_AT
FL00653,SFO,ARRIVES_AT
FL00654,DEN,ARRIVES_AT
FL00655,PHX,ARRIVES_AT
FL00656,PHX,ARRIVES_AT
FL00657,BOS,ARRIVES_AT
FL00658,PHX,ARRIVES_AT
FL00659,JFK,ARRIVES_AT
FL00660,DFW,ARRIVES_AT
FL00661,BOS,ARRIVES_AT
FL00662,ORD,ARRIVES_AT
FL00663,DEN,ARRIVES_AT
FL00664,JFK,ARRIVES_AT
FL00665,MSP,ARRIVES_AT
FL00666,DFW,ARRIVES_AT
FL00667,LAX,ARRIVES_AT
FL00668,MIA,ARRIVES_AT
FL00669,BOS,ARRIVES_AT
FL00670,MIA,ARRIVES_AT
FL00671,BOS,ARRIVES_AT
FL00672,DEN,ARRIVES_AT
FL00673,SFO,ARRIVES_AT
FL00674,JFK,ARRIVES_AT
FL00675,MIA,ARRIVES_AT
FL00676,DFW,ARRIVES_AT
FL00677,ORD,ARRIVES_AT
FL00678,SEA,ARRIVES_AT
FL00679,ORD,ARRIVES_AT
FL00680,SFO,ARRIVES_AT
FL00681,DFW,ARRIVES_AT
FL00682,ATL,ARRIVES_AT
FL00683,JFK,ARRIVES_AT
FL00684,DFW,ARRIVES_AT
FL00685,DFW,ARRIVES_AT
FL00686,SEA,ARRIVES_AT
FL00687,DFW,ARRIVES_AT
FL00688,ORD,ARRIVES_AT
FL00689,MIA,ARRIVES_AT
FL00690,SFO,ARRIVES_AT
FL00691,LAX,ARRIVES_AT
FL00692,DFW,ARRIVES_AT
FL00693,JFK,ARRIVES_AT
FL00694,JFK,ARRIVES_AT
FL00695,BOS,ARRIVES_AT
FL00696,BOS,ARRIVES_AT
FL00697,DEN,ARRIVES_AT
FL00698,SEA,ARRIVES_AT
FL00699,ATL,ARRIVES_AT
FL00700,PHX,ARRIVES_AT
FL00701,LAX,ARRIVES_AT
FL00702,MSP,ARRIVES_AT
FL00703,DEN,ARRIVES_AT
FL00704,MIA,ARRIVES_AT
FL00705,BOS,ARRIVES_AT
FL00706,DFW,ARRIVES_AT
FL00707,SEA,ARRIVES_AT
FL00708,BOS,ARRIVES_AT
FL00709,DEN,ARRIVES_AT
FL00710,LAX,ARRIVES_AT
FL00711,MSP,ARRIVES_AT
FL00712,SFO,ARRIVES_AT
FL00713,SFO,ARRIVES_AT
FL00714,LAX,ARRIVES_AT
FL00715,SEA,ARRIVES_AT
FL00716,DEN,ARRIVES_AT
FL00717,DFW,ARRIVES_AT
FL00718,PHX,ARRIVES_AT
FL00719,DEN,ARRIVES_AT
FL00720,ORD,ARRIVES_AT
FL00721,PHX,ARRIVES_AT
FL00722,DEN,ARRIVES_AT
FL00723,MIA,ARRIVES_AT
FL00724,SFO,ARRIVES_AT
FL00725,BOS,ARRIVES_AT
FL00726,MIA,ARRIVES_AT
FL00727,PHX,ARRIVES_AT
FL00728,JFK,ARRIVES_AT
FL00729,MSP,ARRIVES_AT
FL00730,LAX,ARRIVES_AT
FL00731,SEA,ARRIVES_AT
FL00732,BOS,ARRIVES_AT
FL00733,PHX,ARRIVES_AT
FL00734,MIA,ARRIVES_AT
